iter	RMSE
0	9694.027472
1	9633.805553
2	9572.675365
3	9512.08487
4	9452.28141
5	9393.251374
6	9335.3712
7	9277.884339
8	9221.066819
9	9165.24267
10	9110.453022
11	9055.911379
12	9001.956209
13	8948.990089
14	8897.848642
15	8846.286823
16	8795.323319
17	8745.10239
18	8695.843145
19	8646.639885
20	8598.282529
21	8550.685566
22	8503.612333
23	8457.371632
24	8411.394818
25	8366.306304
26	8321.933277
27	8277.985035
28	8235.102487
29	8192.504542
30	8150.2264
31	8108.770087
32	8067.894085
33	8027.394357
34	7987.386122
35	7947.946937
36	7909.587813
37	7871.170518
38	7833.541069
39	7796.501893
40	7759.748676
41	7723.12841
42	7687.450534
43	7652.263355
44	7617.657635
45	7583.239098
46	7549.625424
47	7516.657693
48	7483.554759
49	7451.428177
50	7419.469115
51	7387.793877
52	7356.80553
53	7326.240766
54	7295.656124
55	7265.476903
56	7235.59838
57	7206.20669
58	7177.653939
59	7148.932901
60	7121.164726
61	7094.063252
62	7067.199921
63	7040.886408
64	7015.243774
65	6989.360621
66	6963.813539
67	6938.48983
68	6914.028533
69	6889.867499
70	6866.221724
71	6842.539332
72	6818.915245
73	6796.075861
74	6773.344967
75	6750.960928
76	6728.885238
77	6707.412157
78	6686.009343
79	6665.066303
80	6644.329878
81	6623.556923
82	6602.8362
83	6583.480397
84	6564.362727
85	6545.088324
86	6526.151714
87	6507.628296
88	6489.417814
89	6471.429258
90	6453.933064
91	6436.213551
92	6418.884054
93	6401.937698
94	6385.068708
95	6367.99337
96	6351.650426
97	6335.605545
98	6319.78738
99	6304.184766
100	6288.705447
101	6273.846301
102	6259.149499
103	6244.366765
104	6229.613164
105	6215.420317
106	6201.447221
107	6187.473006
108	6173.652436
109	6158.703968
110	6144.530701
111	6129.332577
112	6113.453856
113	6098.551834
114	6084.579193
115	6070.830684
116	6057.515146
117	6043.223629
118	6029.243348
119	6015.45967
120	6003.020802
121	5989.978188
122	5977.564753
123	5964.296627
124	5952.266072
125	5940.68778
126	5929.082912
127	5917.642433
128	5905.532238
129	5894.495356
130	5883.484216
131	5870.166734
132	5858.713152
133	5848.000145
134	5837.731649
135	5826.837723
136	5816.802584
137	5807.010254
138	5796.891258
139	5787.000833
140	5777.191079
141	5767.605815
142	5757.513534
143	5748.334146
144	5739.572852
145	5730.786459
146	5722.110074
147	5713.443139
148	5705.129978
149	5696.731064
150	5688.47157
151	5680.465836
152	5672.327845
153	5664.193158
154	5656.383007
155	5648.512678
156	5640.902638
157	5633.234307
158	5625.666732
159	5616.417125
160	5605.628326
161	5598.585
162	5591.746217
163	5584.680984
164	5576.042145
165	5567.460067
166	5560.847751
167	5551.23462
168	5544.796581
169	5538.546402
170	5532.318348
171	5526.136602
172	5519.913904
173	5512.645461
174	5506.755728
175	5500.991166
176	5491.645253
177	5485.892789
178	5480.197915
179	5474.643002
180	5465.853783
181	5458.126166
182	5449.815608
183	5443.474223
184	5438.325315
185	5433.104426
186	5427.990436
187	5422.868166
188	5414.766389
189	5407.850123
190	5400.120218
191	5395.141678
192	5388.654569
193	5380.760066
194	5374.29728
195	5369.692994
196	5363.625578
197	5358.938401
198	5354.483744
199	5347.254796
200	5342.288478
201	5338.063154
202	5333.797113
203	5328.32116
204	5323.382375
205	5319.491727
206	5315.776537
207	5311.887745
208	5304.732154
209	5299.717796
210	5293.779366
211	5286.887946
212	5280.115668
213	5274.884181
214	5270.918866
215	5265.463953
216	5261.684816
217	5256.906574
218	5251.447722
219	5244.110796
220	5239.70956
221	5235.919915
222	5231.580291
223	5227.775945
224	5223.188762
225	5218.421422
226	5213.452324
227	5208.107523
228	5204.850061
229	5200.793956
230	5197.245097
231	5192.910155
232	5188.005854
233	5184.922423
234	5181.707664
235	5178.512075
236	5174.936189
237	5169.535596
238	5164.738619
239	5161.644675
240	5157.391596
241	5154.557269
242	5150.442133
243	5147.215063
244	5144.513422
245	5140.629121
246	5136.377031
247	5133.196147
248	5127.677717
249	5124.774967
250	5121.717768
251	5119.307477
252	5115.564791
253	5112.683867
254	5108.937805
255	5106.578351
256	5102.660112
257	5100.250065
258	5097.106845
259	5092.036722
260	5089.060012
261	5086.671879
262	5082.680558
263	5079.739282
264	5077.188278
265	5075.253942
266	5072.643667
267	5070.325829
268	5065.830482
269	5063.619295
270	5060.056875
271	5055.171168
272	5053.1516
273	5050.63188
274	5048.433618
275	5044.788943
276	5042.836346
277	5040.724779
278	5038.165009
279	5035.539775
280	5033.598798
281	5028.980947
282	5027.069417
283	5025.294931
284	5022.84938
285	5021.04918
286	5017.024736
287	5015.368299
288	5013.506912
289	5011.01889
290	5008.956769
291	5007.304631
292	5005.34224
293	5003.749665
294	5002.23047
295	5000.582685
296	4998.640432
297	4997.058833
298	4993.055046
299	4991.404858
300	4989.260583
301	4987.052323
302	4984.485968
303	4982.929549
304	4980.988063
305	4979.414957
306	4977.606911
307	4975.758011
308	4973.756077
309	4971.760699
310	4970.27977
311	4968.876023
312	4966.786268
313	4962.49666
314	4960.221418
315	4958.974001
316	4957.767288
317	4954.34826
318	4952.6339
319	4951.257012
320	4949.452202
321	4948.121965
322	4946.911051
323	4945.036342
324	4943.960481
325	4942.147925
326	4940.004614
327	4938.690514
328	4937.548694
329	4936.446161
330	4934.675354
331	4933.373991
332	4931.852705
333	4930.437398
334	4929.39175
335	4927.538111
336	4926.333065
337	4924.989334
338	4923.186102
339	4921.379089
340	4919.155333
341	4917.185526
342	4913.920562
343	4912.223678
344	4910.43772
345	4909.063327
346	4907.74263
347	4905.940867
348	4904.031507
349	4902.156554
350	4898.55558
351	4894.751618
352	4892.422461
353	4890.250822
354	4888.45471
355	4886.332446
356	4885.014083
357	4883.065869
358	4881.263677
359	4880.065109
360	4878.643873
361	4877.194186
362	4875.650758
363	4874.589726
364	4873.362425
365	4871.706059
366	4870.158451
367	4869.111433
368	4868.018423
369	4867.052371
370	4865.14706
371	4863.907036
372	4862.662675
373	4859.280383
374	4858.22184
375	4857.156229
376	4855.140851
377	4853.563734
378	4852.576715
379	4850.891851
380	4847.485187
381	4846.627787
382	4844.602007
383	4843.581554
384	4842.593949
385	4841.215195
386	4837.880311
387	4836.335834
388	4835.181432
389	4834.401209
390	4832.958401
391	4829.914497
392	4828.553818
393	4827.106085
394	4825.253877
395	4822.692236
396	4821.195716
397	4819.996224
398	4819.046601
399	4817.788548
400	4814.73253
401	4812.994781
402	4811.99919
403	4810.230677
404	4809.480153
405	4808.219166
406	4806.430357
407	4805.442465
408	4804.724021
409	4803.461665
410	4802.510029
411	4800.920645
412	4799.738521
413	4798.641542
414	4797.045119
415	4795.526744
416	4794.599885
417	4793.468943
418	4792.819816
419	4790.188076
420	4788.832328
421	4787.862837
422	4786.493842
423	4785.296
424	4784.57087
425	4783.270199
426	4781.840395
427	4780.652422
428	4779.438161
429	4776.674162
430	4775.34319
431	4774.220419
432	4773.559544
433	4772.162475
434	4770.281742
435	4768.95562
436	4768.164543
437	4767.17786
438	4766.320626
439	4763.69977
440	4762.658803
441	4762.203212
442	4761.258246
443	4760.314615
444	4759.576694
445	4758.590065
446	4757.519414
447	4757.040322
448	4755.753952
449	4755.187357
450	4754.189839
451	4753.276068
452	4752.089336
453	4751.372882
454	4749.032197
455	4747.725755
456	4746.740381
457	4744.488347
458	4743.69689
459	4742.933372
460	4741.659563
461	4739.554619
462	4738.473196
463	4737.509013
464	4736.124604
465	4735.705317
466	4733.679661
467	4732.000606
468	4731.31644
