iter	Passed	Remaining
0	111	111634
1	202	101168
2	281	93493
3	359	89568
4	436	86962
5	542	89941
6	661	93847
7	755	93689
8	843	92922
9	929	92048
10	1029	92598
11	1131	93132
12	1226	93084
13	1320	92982
14	1416	92993
15	1504	92520
16	1592	92077
17	1673	91286
18	1768	91298
19	1852	90774
20	1935	90242
21	2018	89742
22	2105	89436
23	2184	88842
24	2273	88651
25	2346	87918
26	2422	87284
27	2495	86624
28	2585	86562
29	2662	86082
30	2752	86027
31	2840	85936
32	2937	86091
33	3034	86216
34	3119	86017
35	3201	85726
36	3280	85388
37	3352	84872
38	3425	84406
39	3517	84413
40	3602	84253
41	3692	84232
42	3796	84504
43	3886	84442
44	3987	84625
45	4083	84681
46	4188	84930
47	4282	84942
48	4383	85078
49	4487	85263
50	4566	84978
51	4645	84698
52	4716	84279
53	4797	84050
54	4868	83641
55	4943	83329
56	5020	83064
57	5081	82533
58	5151	82158
59	5222	81823
60	5310	81753
61	5392	81590
62	5460	81211
63	5543	81078
64	5641	81148
65	5748	81346
66	5838	81301
67	5940	81415
68	6023	81274
69	6124	81369
70	6226	81472
71	6323	81496
72	6404	81325
73	6485	81158
74	6572	81058
75	6646	80803
76	6715	80498
77	6810	80506
78	6907	80523
79	6996	80461
80	7085	80385
81	7156	80117
82	7233	79914
83	7329	79925
84	7437	80062
85	7529	80026
86	7605	79816
87	7683	79627
88	7750	79337
89	7836	79239
90	7938	79294
91	8037	79330
92	8134	79332
93	8216	79197
94	8297	79046
95	8376	78876
96	8460	78761
97	8534	78549
98	8604	78313
99	8678	78110
100	8748	77871
101	8816	77622
102	8897	77487
103	8963	77227
104	9048	77126
105	9114	76873
106	9194	76736
107	9280	76646
108	9359	76509
109	9445	76426
110	9513	76192
111	9582	75973
112	9648	75738
113	9722	75562
114	9807	75473
115	9886	75340
116	9959	75166
117	10036	75016
118	10113	74876
119	10193	74754
120	10284	74713
121	10350	74487
122	10452	74527
123	10524	74350
124	10601	74211
125	10689	74149
126	10768	74022
127	10846	73890
128	10926	73773
129	11018	73739
130	11132	73846
131	11198	73639
132	11280	73537
133	11369	73474
134	11465	73464
135	11541	73319
136	11620	73199
137	11697	73067
138	11774	72932
139	11847	72778
140	11935	72710
141	12005	72542
142	12075	72368
143	12168	72336
144	12263	72312
145	12368	72347
146	12475	72390
147	12555	72278
148	12639	72191
149	12711	72031
150	12782	71870
151	12858	71734
152	12948	71683
153	13037	71621
154	13126	71559
155	13204	71439
156	13285	71332
157	13355	71175
158	13437	71073
159	13494	70848
160	13572	70727
161	13657	70650
162	13730	70505
163	13799	70343
164	13880	70242
165	13974	70210
166	14065	70160
167	14132	69987
168	14211	69881
169	14283	69738
170	14364	69636
171	14449	69558
172	14537	69495
173	14604	69328
174	14695	69278
175	14769	69146
176	14837	68991
177	14918	68891
178	15001	68804
179	15093	68760
180	15152	68564
181	15214	68381
182	15269	68169
183	15341	68036
184	15428	67970
185	15510	67878
186	15602	67833
187	15697	67798
188	15780	67712
189	15881	67704
190	15959	67597
191	16064	67604
192	16137	67476
193	16206	67331
194	16284	67224
195	16374	67169
196	16460	67097
197	16574	67134
198	16692	67188
199	16783	67134
200	16852	66989
201	16940	66921
202	17035	66882
203	17112	66771
204	17183	66638
205	17268	66559
206	17344	66444
207	17428	66361
208	17500	66233
209	17586	66159
210	17643	65973
211	17696	65778
212	17767	65648
213	17849	65559
214	17929	65463
215	18005	65352
216	18079	65237
217	18180	65216
218	18256	65107
219	18340	65025
220	18417	64918
221	18531	64945
222	18607	64834
223	18698	64777
224	18768	64645
225	18840	64524
226	18923	64438
227	19006	64356
228	19084	64253
229	19153	64122
230	19226	64005
231	19302	63899
232	19376	63785
233	19477	63760
234	19562	63682
235	19649	63610
236	19731	63524
237	19810	63426
238	19870	63269
239	19941	63147
240	20011	63024
241	20130	63051
242	20196	62916
243	20278	62829
244	20373	62783
245	20449	62678
246	20530	62589
247	20627	62549
248	20715	62479
249	20788	62364
250	20874	62291
251	20946	62173
252	21032	62100
253	21111	62004
254	21175	61867
255	21248	61753
256	21326	61656
257	21424	61616
258	21501	61516
259	21579	61417
260	21654	61313
261	21754	61278
262	21829	61172
263	21924	61123
264	21998	61015
265	22080	60929
266	22157	60829
267	22258	60795
268	22334	60692
269	22434	60657
270	22500	60526
271	22574	60421
272	22689	60423
273	22783	60368
274	22878	60315
275	22987	60300
276	23096	60284
277	23202	60260
278	23286	60177
279	23368	60090
280	23448	59997
281	23526	59900
282	23601	59796
283	23678	59695
284	23763	59615
285	23864	59577
286	23927	59443
287	24030	59407
288	24130	59365
289	24206	59263
290	24289	59180
291	24406	59178
292	24487	59088
293	24592	59056
294	24669	58955
295	24766	58905
296	24865	58856
297	24964	58808
298	25046	58721
299	25113	58597
300	25208	58541
301	25300	58474
302	25367	58353
303	25467	58307
304	25574	58276
305	25683	58248
306	25785	58206
307	25878	58141
308	25956	58044
309	26031	57941
310	26126	57881
311	26218	57814
312	26292	57710
313	26370	57612
314	26449	57518
315	26570	57513
316	26674	57472
317	26792	57460
318	26868	57359
319	26951	57272
320	27047	57213
321	27139	57144
322	27237	57088
323	27340	57043
324	27438	56986
325	27525	56908
326	27618	56841
327	27718	56788
328	27823	56746
329	27910	56666
330	27992	56576
331	28076	56491
332	28141	56366
333	28218	56267
334	28338	56253
335	28451	56224
336	28574	56217
337	28686	56184
338	28768	56095
339	28850	56003
340	28922	55893
341	29000	55796
342	29082	55706
343	29176	55639
344	29260	55553
345	29345	55468
346	29443	55407
347	29527	55321
348	29588	55193
349	29670	55102
350	29746	55001
351	29819	54894
352	29914	54828
353	29986	54720
354	30058	54612
355	30135	54514
356	30229	54447
357	30316	54366
358	30378	54240
359	30462	54154
360	30528	54038
361	30602	53934
362	30687	53851
363	30791	53801
364	30887	53735
365	30950	53614
366	31033	53526
367	31134	53469
368	31233	53409
369	31342	53367
370	31414	53260
371	31505	53186
372	31583	53091
373	31656	52987
374	31759	52932
375	31863	52880
376	31943	52787
377	32007	52668
378	32101	52599
379	32199	52536
380	32266	52422
381	32365	52361
382	32428	52241
383	32523	52173
384	32621	52109
385	32684	51989
386	32739	51859
387	32812	51756
388	32886	51654
389	32984	51591
390	33051	51479
391	33125	51378
392	33197	51273
393	33271	51174
394	33339	51063
395	33431	50991
396	33506	50892
397	33574	50783
398	33647	50682
399	33714	50572
400	33798	50487
401	33888	50411
402	33972	50327
403	34048	50229
404	34164	50192
405	34264	50130
406	34357	50059
407	34460	50001
408	34558	49936
409	34623	49824
410	34693	49719
411	34799	49664
412	34854	49538
413	34931	49443
414	34998	49335
415	35083	49251
416	35179	49184
417	35272	49111
418	35392	49076
419	35481	48997
420	35558	48904
421	35626	48796
422	35717	48721
423	35783	48611
424	35878	48541
425	35960	48453
426	36040	48363
427	36121	48274
428	36193	48173
429	36275	48085
430	36337	47972
431	36393	47851
432	36495	47789
433	36570	47693
434	36634	47583
435	36695	47468
436	36800	47411
437	36861	47297
438	36944	47211
439	37026	47124
440	37098	47024
441	37206	46970
442	37273	46865
443	37355	46778
444	37442	46698
445	37509	46592
446	37583	46495
447	37696	46447
448	37791	46376
449	37891	46312
450	37981	46234
451	38071	46157
452	38161	46079
453	38250	46001
454	38326	45907
455	38396	45806
456	38457	45694
457	38538	45607
458	38599	45495
459	38689	45418
460	38757	45315
461	38833	45221
462	38912	45131
463	38986	45036
464	39062	44942
465	39177	44894
466	39268	44818
467	39345	44726
468	39410	44619
469	39473	44512
470	39548	44418
471	39637	44339
472	39742	44279
473	39805	44172
474	39866	44063
475	39948	43976
476	40043	43905
477	40114	43806
478	40182	43705
479	40261	43616
480	40370	43559
481	40476	43499
482	40561	43416
483	40643	43331
484	40714	43232
485	40801	43152
486	40906	43090
487	40985	43000
488	41075	42923
489	41160	42840
490	41252	42764
491	41318	42661
492	41401	42576
493	41493	42500
494	41567	42407
495	41675	42347
496	41779	42283
497	41889	42225
498	41965	42133
499	42077	42077
500	42139	41971
501	42205	41869
502	42261	41757
503	42354	41682
504	42426	41586
505	42551	41542
506	42628	41451
507	42711	41366
508	42805	41291
509	42908	41225
510	42982	41131
511	43077	41058
512	43171	40983
513	43237	40882
514	43298	40776
515	43383	40692
516	43497	40637
517	43597	40567
518	43671	40474
519	43738	40374
520	43813	40281
521	43895	40195
522	43974	40106
523	44055	40020
524	44131	39928
525	44231	39858
526	44313	39772
527	44414	39703
528	44495	39617
529	44587	39539
530	44692	39474
531	44765	39379
532	44869	39313
533	44933	39211
534	44994	39107
535	45087	39031
536	45161	38938
537	45220	38832
538	45284	38731
539	45348	38630
540	45447	38558
541	45548	38489
542	45649	38419
543	45720	38324
544	45797	38234
545	45866	38138
546	45965	38066
547	46033	37968
548	46120	37887
549	46212	37810
550	46284	37716
551	46365	37629
552	46423	37524
553	46491	37428
554	46572	37341
555	46663	37263
556	46733	37168
557	46800	37071
558	46879	36983
559	46946	36886
560	47003	36781
561	47071	36685
562	47144	36593
563	47227	36509
564	47297	36415
565	47393	36340
566	47462	36245
567	47520	36142
568	47593	36050
569	47656	35951
570	47755	35879
571	47828	35787
572	47916	35707
573	47979	35608
574	48045	35511
575	48148	35442
576	48238	35363
577	48320	35278
578	48388	35183
579	48452	35086
580	48551	35013
581	48619	34919
582	48707	34838
583	48769	34739
584	48849	34653
585	48958	34588
586	49038	34502
587	49112	34412
588	49206	34335
589	49319	34272
590	49386	34177
591	49450	34080
592	49514	33983
593	49607	33906
594	49692	33824
595	49766	33734
596	49832	33639
597	49925	33562
598	49993	33468
599	50083	33389
600	50140	33288
601	50229	33208
602	50328	33134
603	50406	33048
604	50484	32961
605	50587	32890
606	50661	32800
607	50732	32708
608	50824	32631
609	50915	32552
610	51016	32480
611	51081	32384
612	51146	32290
613	51241	32213
614	51318	32126
615	51402	32042
616	51503	31970
617	51572	31878
618	51653	31793
619	51724	31701
620	51800	31614
621	51874	31525
622	51934	31427
623	52004	31336
624	52115	31269
625	52181	31175
626	52258	31088
627	52341	31004
628	52420	30918
629	52502	30834
630	52557	30734
631	52622	30640
632	52715	30563
633	52789	30474
634	52863	30385
635	52961	30311
636	53042	30226
637	53116	30138
638	53220	30066
639	53334	30000
640	53406	29910
641	53480	29822
642	53577	29746
643	53672	29669
644	53751	29584
645	53834	29500
646	53904	29410
647	53961	29312
648	54048	29230
649	54105	29133
650	54211	29062
651	54271	28967
652	54350	28881
653	54424	28793
654	54508	28710
655	54598	28630
656	54681	28547
657	54754	28459
658	54813	28363
659	54877	28270
660	54942	28177
661	55025	28094
662	55084	27998
663	55139	27901
664	55228	27821
665	55292	27729
666	55360	27638
667	55437	27552
668	55497	27458
669	55565	27368
670	55665	27293
671	55737	27205
672	55828	27126
673	55932	27053
674	56014	26970
675	56089	26882
676	56161	26794
677	56237	26708
678	56318	26624
679	56400	26541
680	56483	26458
681	56556	26371
682	56630	26283
683	56707	26198
684	56806	26122
685	56862	26027
686	56957	25950
687	57073	25882
688	57135	25789
689	57228	25711
690	57320	25632
691	57407	25551
692	57475	25461
693	57545	25373
694	57600	25278
695	57675	25191
696	57779	25117
697	57847	25028
698	57932	24946
699	58021	24866
700	58103	24783
701	58187	24700
702	58280	24621
703	58390	24550
704	58465	24464
705	58556	24384
706	58676	24316
707	58761	24235
708	58825	24144
709	58895	24055
710	58985	23975
711	59067	23892
712	59144	23807
713	59218	23720
714	59306	23639
715	59355	23543
716	59438	23460
717	59517	23375
718	59603	23294
719	59719	23224
720	59834	23153
721	59923	23073
722	60002	22988
723	60079	22903
724	60175	22825
725	60235	22733
726	60320	22651
727	60383	22560
728	60479	22482
729	60573	22403
730	60624	22309
731	60695	22221
732	60781	22140
733	60866	22057
734	60942	21972
735	61013	21885
736	61081	21797
737	61152	21710
738	61225	21623
739	61300	21537
740	61386	21456
741	61464	21371
742	61577	21299
743	61641	21209
744	61738	21131
745	61807	21044
746	61925	20973
747	62018	20893
748	62093	20808
749	62176	20725
750	62272	20647
751	62359	20565
752	62429	20478
753	62514	20395
754	62582	20308
755	62665	20225
756	62731	20137
757	62838	20061
758	62934	19983
759	63019	19900
760	63098	19816
761	63160	19727
762	63248	19645
763	63304	19554
764	63400	19476
765	63476	19390
766	63547	19304
767	63645	19226
768	63697	19134
769	63770	19048
770	63845	18963
771	63931	18881
772	64001	18794
773	64096	18715
774	64171	18630
775	64245	18545
776	64359	18471
777	64427	18384
778	64526	18305
779	64606	18222
780	64688	18139
781	64761	18053
782	64841	17970
783	64910	17883
784	65003	17803
785	65093	17722
786	65198	17645
787	65265	17558
788	65341	17474
789	65430	17392
790	65499	17306
791	65578	17222
792	65664	17140
793	65735	17054
794	65814	16970
795	65877	16883
796	65971	16803
797	66041	16717
798	66111	16631
799	66189	16547
800	66279	16466
801	66359	16382
802	66418	16294
803	66491	16209
804	66593	16131
805	66688	16051
806	66760	15966
807	66860	15887
808	66923	15800
809	67005	15717
810	67106	15638
811	67176	15553
812	67250	15468
813	67330	15385
814	67428	15305
815	67507	15222
816	67631	15148
817	67712	15065
818	67829	14990
819	67916	14908
820	68027	14831
821	68087	14743
822	68177	14662
823	68276	14583
824	68334	14495
825	68395	14407
826	68506	14330
827	68592	14248
828	68649	14160
829	68739	14079
830	68801	13992
831	68887	13910
832	68975	13828
833	69053	13744
834	69138	13662
835	69214	13577
836	69286	13492
837	69379	13412
838	69435	13324
839	69518	13241
840	69595	13157
841	69685	13076
842	69767	12993
843	69832	12907
844	69885	12819
845	69989	12740
846	70072	12657
847	70152	12574
848	70235	12491
849	70307	12407
850	70384	12323
851	70465	12240
852	70532	12154
853	70615	12072
854	70701	11990
855	70785	11907
856	70864	11824
857	70922	11737
858	70998	11653
859	71050	11566
860	71121	11481
861	71183	11395
862	71278	11315
863	71351	11231
864	71425	11147
865	71547	11070
866	71622	10987
867	71699	10903
868	71757	10817
869	71847	10735
870	71911	10650
871	71984	10566
872	72076	10485
873	72147	10401
874	72212	10316
875	72308	10235
876	72399	10154
877	72478	10071
878	72558	9988
879	72653	9907
880	72724	9823
881	72809	9740
882	72920	9662
883	72989	9577
884	73077	9495
885	73147	9411
886	73207	9326
887	73289	9243
888	73364	9160
889	73421	9074
890	73476	8988
891	73552	8905
892	73630	8822
893	73699	8738
894	73770	8654
895	73837	8570
896	73910	8486
897	73981	8403
898	74052	8319
899	74105	8233
900	74208	8153
901	74275	8069
902	74342	7985
903	74425	7903
904	74501	7820
905	74588	7738
906	74692	7658
907	74771	7575
908	74841	7492
909	74908	7408
910	74994	7326
911	75065	7243
912	75159	7161
913	75263	7081
914	75353	7000
915	75442	6918
916	75549	6838
917	75626	6755
918	75739	6675
919	75825	6593
920	75888	6509
921	75967	6426
922	76033	6342
923	76127	6261
924	76232	6181
925	76310	6098
926	76409	6017
927	76490	5934
928	76589	5853
929	76658	5770
930	76768	5689
931	76843	5606
932	76939	5525
933	77015	5442
934	77121	5361
935	77214	5279
936	77285	5196
937	77360	5113
938	77442	5030
939	77522	4948
940	77641	4868
941	77736	4786
942	77823	4704
943	77905	4621
944	77997	4539
945	78084	4457
946	78171	4374
947	78265	4293
948	78382	4212
949	78463	4129
950	78542	4046
951	78634	3964
952	78709	3881
953	78764	3797
954	78845	3715
955	78913	3632
956	79011	3550
957	79067	3466
958	79148	3383
959	79220	3300
960	79302	3218
961	79379	3135
962	79471	3053
963	79529	2969
964	79619	2887
965	79675	2804
966	79742	2721
967	79810	2638
968	79897	2556
969	79983	2473
970	80099	2392
971	80191	2310
972	80282	2227
973	80360	2145
974	80446	2062
975	80534	1980
976	80621	1897
977	80738	1816
978	80819	1733
979	80907	1651
980	80983	1568
981	81069	1486
982	81163	1403
983	81223	1320
984	81317	1238
985	81406	1155
986	81478	1073
987	81563	990
988	81664	908
989	81729	825
990	81812	743
991	81886	660
992	81959	577
993	82045	495
994	82136	412
995	82211	330
996	82298	247
997	82350	165
998	82451	82
999	82528	0
